date,open,high,low,close,volume,raw_close,change_percent,avg_vol_20d
1980-12-12,0.1283,0.1289,0.1283,0.1283,469033600,28.7392,,
1980-12-15,0.1222,0.1222,0.12169999999999999,0.12169999999999999,175884800,27.2608,-5.14,
1980-12-16,0.1133,0.1133,0.1127,0.1127,105728000,25.2448,-7.43,
1980-12-17,0.11549999999999999,0.1161,0.11549999999999999,0.11549999999999999,86441600,25.872,2.52,
1980-12-18,0.1189,0.11939999999999999,0.1189,0.1189,73449600,26.6336,2.91,
1980-12-19,0.1261,0.1267,0.1261,0.1261,48630400,28.2464,6.09,
1980-12-22,0.1323,0.1328,0.1323,0.1323,37363200,29.6352,4.92,
1980-12-23,0.1378,0.1384,0.1378,0.1378,46950400,30.8672,4.1,
1980-12-24,0.1451,0.1456,0.1451,0.1451,48003200,32.5024,5.35,
1980-12-26,0.15849999999999997,0.159,0.15849999999999997,0.15849999999999997,55574400,35.504,9.26,
1980-12-29,0.16069999999999998,0.1613,0.16069999999999998,0.16069999999999998,93161600,35.9968,1.39,
1980-12-30,0.15739999999999998,0.15739999999999998,0.15679999999999997,0.15679999999999997,68880000,35.1232,-2.41,
1980-12-31,0.1529,0.1529,0.1523,0.1523,35750400,34.1152,-2.88,
1981-01-02,0.154,0.15510000000000002,0.154,0.154,21660800,34.496,1.1,
1981-01-05,0.1512,0.1512,0.15069999999999997,0.15069999999999997,35728000,33.7568,-2.18,
1981-01-06,0.1445,0.1445,0.144,0.144,45158400,32.256,-4.46,
1981-01-07,0.1384,0.1384,0.1378,0.1378,55686400,30.8672,-4.31,
1981-01-08,0.1356,0.1356,0.13499999999999998,0.13499999999999998,39827200,30.24,-1.97,
1981-01-09,0.14229999999999998,0.1429,0.14229999999999998,0.14229999999999998,21504000,31.8752,5.36,
1981-01-12,0.14229999999999998,0.14229999999999998,0.1412,0.1412,23699200,31.6288,-0.73,79405760.0
1981-01-13,0.1367,0.1367,0.1362,0.1362,23049600,30.5088,-3.57,57106560.0
1981-01-14,0.1367,0.13729999999999998,0.1367,0.1367,14291200,30.6208,0.38,49026880.0
1981-01-15,0.13949999999999999,0.14059999999999997,0.13949999999999999,0.13949999999999999,14067200,31.248,2.08,44443840.0
1981-01-16,0.13899999999999998,0.13899999999999998,0.1384,0.1384,13395200,31.0016,-0.83,40791520.0
1981-01-19,0.1468,0.1473,0.1468,0.1468,41574400,32.8832,6.07,39197760.0
1981-01-20,0.1429,0.1429,0.14229999999999998,0.14229999999999998,30083200,31.8752,-3.08,38270400.0
1981-01-21,0.1451,0.1462,0.1451,0.1451,15904000,32.5024,2.0,37197440.0
1981-01-22,0.1468,0.1479,0.1468,0.1468,35548800,32.8832,1.16,36627360.0
1981-01-23,0.1468,0.1473,0.1462,0.1462,11222400,32.7488,-0.44,34788320.0
1981-01-26,0.1445,0.1445,0.144,0.144,24640000,32.256,-1.5,33241600.0
1981-01-27,0.144,0.144,0.1429,0.1429,23699200,32.0096,-0.72,29768480.0
1981-01-28,0.13899999999999998,0.13899999999999998,0.1384,0.1384,28156800,31.0016,-3.16,27732320.0
1981-01-29,0.1339,0.1339,0.1334,0.1334,43904000,29.8816,-3.64,28140000.0
1981-01-30,0.12719999999999998,0.12719999999999998,0.1261,0.1261,46188800,28.2464,-5.43,29366400.0
1981-02-02,0.11939999999999999,0.11939999999999999,0.1189,0.1189,23766400,26.6336,-5.74,28768320.0
1981-02-03,0.12329999999999999,0.12389999999999998,0.12329999999999999,0.12329999999999999,19152000,27.6192,3.7,27468000.0
1981-02-04,0.1278,0.1283,0.1278,0.1278,27865600,28.6272,3.67,26076960.0
1981-02-05,0.1278,0.1289,0.1278,0.1278,7929600,28.6272,0.0,24482080.0
